05:06:05:994 [ALWAYS]	GUDE Logging Started
05:06:05:994 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
05:06:05:994 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
05:06:05:994 [ERROR]	Initialize resume cache pointer failure
05:06:05:995 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
05:06:05:995 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
05:06:07:766 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
05:06:07:766 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
05:06:07:766 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
05:06:07:766 [ERROR]	Initialize resume cache pointer failure
05:06:07:766 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
05:06:07:766 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
